Customer_ID,Customer_Type
C0456,Member
C0266,Non-Member
C0077,Member
C0133,Member
C0049,Member
C0366,Member
C0444,Non-Member
C0294,Member
C0457,Member
C0086,Member
C0062,Member
C0287,Member
C0152,Non-Member
C0301,Member
C0306,Member
C0345,Non-Member
C0195,Member
C0318,Non-Member
C0424,Non-Member
C0047,Non-Member
C0440,Non-Member
C0412,Member
C0190,Non-Member
C0494,Non-Member
C0419,Member
C0091,Non-Member
C0059,Member
C0498,Member
C0063,Member
C0019,Non-Member
C0245,Non-Member
C0202,Member
C0044,Member
C0165,Non-Member
C0351,Member
C0365,Member
C0257,Non-Member
C0195,Non-Member
C0321,Non-Member
C0239,Non-Member
C0228,Member
C0275,Non-Member
C0178,Non-Member
C0122,Non-Member
C0474,Non-Member
C0410,Member
C0477,Non-Member
C0413,Member
C0015,Member
C0068,Member
C0294,Non-Member
C0187,Non-Member
C0272,Non-Member
C0313,Non-Member
C0303,Non-Member
C0471,Member
C0068,Non-Member
C0445,Member
C0143,Member
C0281,Member
C0337,Member
C0236,Non-Member
C0392,Non-Member
C0098,Member
C0111,Non-Member
C0264,Non-Member
C0280,Member
C0487,Non-Member
C0439,Non-Member
C0232,Member
C0316,Non-Member
C0107,Non-Member
C0472,Member
C0252,Non-Member
C0293,Non-Member
C0447,Non-Member
C0359,Non-Member
C0486,Non-Member
C0429,Non-Member
C0196,Non-Member
C0259,Non-Member
C0367,Non-Member
C0074,Non-Member
C0264,Member
C0240,Member
C0169,Non-Member
C0144,Member
C0314,Non-Member
C0454,Member
C0106,Non-Member
C0324,Non-Member
C0121,Member
C0233,Non-Member
C0114,Non-Member
C0495,Non-Member
C0147,Member
C0405,Non-Member
C0462,Non-Member
C0496,Non-Member
C0500,Non-Member
C0216,Non-Member
C0374,Member
C0130,Member
C0074,Member
C0218,Non-Member
C0047,Member
C0468,Non-Member
C0442,Non-Member
C0208,Non-Member
C0230,Non-Member
C0277,Member
C0050,Non-Member
C0018,Member
C0009,Non-Member
C0403,Member
C0186,Member
