Date,Customer_ID,Shop_ID,Shop_Name,Category,Product_Name,Quantity,Unit_Price,Discount,Sales_Amount,Payment_Method,Customer_Type,Rating
2024-01-01,C0456,S007,Sports Arena,Sports,Football,2,899,10,1618.2,Cash,Member,4
2024-01-01,C0266,S002,Style Point,Fashion,T-Shirt,3,799,0,2397.0,Cash,Non-Member,5
2024-01-05,C0077,S002,Style Point,Fashion,Jacket,1,2499,5,2374.05,UPI,Member,5
2024-01-07,C0133,S007,Sports Arena,Sports,Yoga Mat,3,799,10,2157.3,Cash,Member,4
2024-01-07,C0049,S002,Style Point,Fashion,Jeans,1,1499,5,1424.05,Card,Member,5
2024-01-07,C0366,S004,Mobile Zone,Electronics,Keyboard,1,1299,0,1299.0,Card,Member,4
2024-01-08,C0444,S006,Beauty Corner,Beauty,Shampoo,1,499,5,474.05,Cash,Non-Member,4
2024-01-08,C0294,S001,Fashion Hub,Fashion,Jacket,3,2499,15,6372.45,UPI,Member,4
2024-01-09,C0457,S004,Mobile Zone,Electronics,Headphones,1,1499,15,1274.15,Cash,Member,4
2024-01-09,C0086,S003,Tech World,Electronics,Headphones,1,1499,20,1199.2,Cash,Member,3
2024-01-09,C0062,S001,Fashion Hub,Fashion,Jacket,2,2499,0,4998.0,UPI,Member,5
2024-01-10,C0287,S005,Home Needs,Home & Lifestyle,Storage Box,1,699,10,629.1,Card,Member,4
2024-01-10,C0152,S006,Beauty Corner,Beauty,Lip Balm,1,249,20,199.2,UPI,Non-Member,4
2024-01-11,C0301,S002,Style Point,Fashion,Jeans,3,1499,20,3597.6,UPI,Member,4
2024-01-11,C0306,S003,Tech World,Electronics,Headphones,1,1499,5,1424.05,Cash,Member,4
2024-01-12,C0345,S008,Book House,Books,Novel,1,399,0,399.0,UPI,Non-Member,4
2024-01-12,C0195,S003,Tech World,Electronics,Power Bank,2,999,5,1898.1,Card,Member,3
2024-01-12,C0318,S001,Fashion Hub,Fashion,Jeans,1,1499,0,1499.0,Cash,Non-Member,5
2024-01-12,C0424,S001,Fashion Hub,Fashion,Jeans,1,1499,0,1499.0,UPI,Non-Member,4
2024-01-13,C0047,S005,Home Needs,Home & Lifestyle,Bedsheet,2,1299,0,2598.0,Cash,Non-Member,4
2024-01-13,C0440,S007,Sports Arena,Sports,Cricket Bat,1,1999,0,1999.0,Card,Non-Member,5
2024-01-13,C0412,S002,Style Point,Fashion,Shirt,2,999,0,1998.0,Cash,Member,4
2024-01-13,C0190,S004,Mobile Zone,Electronics,Power Bank,1,999,15,849.15,Cash,Non-Member,3
2024-01-14,C0494,S006,Beauty Corner,Beauty,Shampoo,1,499,0,499.0,UPI,Non-Member,4
2024-01-14,C0195,S001,Fashion Hub,Fashion,Jeans,1,1499,5,1424.05,UPI,Member,4
2024-01-15,C0419,S008,Book House,Books,Novel,1,399,15,339.15,Card,Member,5
2024-01-16,C0091,S004,Mobile Zone,Electronics,Headphones,2,1499,20,2398.4,UPI,Non-Member,4
2024-01-16,C0059,S001,Fashion Hub,Fashion,Jeans,1,1499,10,1349.1,UPI,Member,5
2024-01-16,C0498,S001,Fashion Hub,Fashion,Jeans,2,1499,10,2698.2,UPI,Member,4
2024-01-17,C0063,S007,Sports Arena,Sports,Sports Shoes,2,2499,15,4248.3,UPI,Member,4
2024-01-17,C0019,S001,Fashion Hub,Fashion,Jeans,1,1499,0,1499.0,Cash,Non-Member,4
2024-01-17,C0245,S006,Beauty Corner,Beauty,Shampoo,1,499,0,499.0,Card,Non-Member,5
2024-01-17,C0202,S002,Style Point,Fashion,T-Shirt,2,799,0,1598.0,Cash,Member,4
2024-01-18,C0044,S005,Home Needs,Home & Lifestyle,Bedsheet,2,1299,20,2078.4,Cash,Member,4
2024-01-18,C0165,S008,Book House,Books,Business Book,1,699,0,699.0,UPI,Non-Member,5
2024-01-18,C0351,S004,Mobile Zone,Electronics,Smart Watch,1,2999,0,2999.0,Cash,Member,4
2024-01-19,C0365,S004,Mobile Zone,Electronics,Keyboard,2,1299,10,2338.2,Cash,Member,4
2024-01-19,C0257,S006,Beauty Corner,Beauty,Shampoo,1,499,15,424.15,Card,Non-Member,5
2024-01-19,C0195,S007,Sports Arena,Sports,Football,3,899,0,2697.0,Card,Non-Member,4
2024-01-20,C0321,S007,Sports Arena,Sports,Football,2,899,15,1528.3,Card,Non-Member,5
2024-01-20,C0239,S002,Style Point,Fashion,Shirt,2,999,0,1998.0,Card,Non-Member,3
2024-01-21,C0228,S003,Tech World,Electronics,Bluetooth Speaker,1,1799,0,1799.0,Card,Member,4
2024-01-21,C0275,S007,Sports Arena,Sports,Skipping Rope,2,299,15,508.3,UPI,Non-Member,4
2024-01-21,C0178,S002,Style Point,Fashion,Jacket,1,2499,0,2499.0,Cash,Non-Member,3
2024-01-21,C0122,S001,Fashion Hub,Fashion,Sneakers,2,1999,20,3198.4,Card,Non-Member,3
2024-01-22,C0474,S001,Fashion Hub,Fashion,Jeans,3,1499,0,4497.0,Cash,Non-Member,4
2024-01-22,C0410,S004,Mobile Zone,Electronics,Keyboard,3,1299,0,3897.0,Cash,Member,3
2024-01-22,C0477,S007,Sports Arena,Sports,Yoga Mat,2,799,10,1438.2,Cash,Non-Member,3
2024-01-22,C0287,S005,Home Needs,Home & Lifestyle,Lamp,1,899,0,899.0,Cash,Member,5
2024-01-23,C0413,S008,Book House,Books,Business Book,3,699,5,1992.15,Card,Member,4
2024-01-24,C0015,S005,Home Needs,Home & Lifestyle,Storage Box,2,699,0,1398.0,UPI,Member,4
2024-01-25,C0068,S002,Style Point,Fashion,Jacket,1,2499,0,2499.0,Card,Member,3
2024-01-25,C0294,S001,Fashion Hub,Fashion,Jeans,1,1499,5,1424.05,UPI,Non-Member,4
2024-01-25,C0187,S008,Book House,Books,Notebook,2,199,20,318.4,Card,Non-Member,4
2024-01-25,C0272,S004,Mobile Zone,Electronics,Headphones,1,1499,15,1274.15,UPI,Non-Member,4
2024-01-26,C0266,S005,Home Needs,Home & Lifestyle,Cushion,3,499,5,1422.15,Cash,Non-Member,4
2024-01-26,C0313,S007,Sports Arena,Sports,Yoga Mat,2,799,5,1518.1,Card,Non-Member,5
2024-01-26,C0303,S005,Home Needs,Home & Lifestyle,Cushion,1,499,0,499.0,UPI,Non-Member,4
2024-01-27,C0471,S002,Style Point,Fashion,Jacket,1,2499,10,2249.1,UPI,Member,5
2024-01-27,C0068,S003,Tech World,Electronics,Headphones,1,1499,15,1274.15,Card,Non-Member,5
2024-01-29,C0445,S008,Book House,Books,Novel,1,399,15,339.15,Card,Member,4
2024-01-30,C0143,S004,Mobile Zone,Electronics,Keyboard,1,1299,0,1299.0,Card,Member,5
2024-01-30,C0281,S003,Tech World,Electronics,Bluetooth Speaker,2,1799,10,3238.2,Card,Member,3
2024-01-31,C0337,S003,Tech World,Electronics,Headphones,1,1499,20,1199.2,Cash,Member,5
